Feature,Coefficient
lh_bankssts-lh_caudalanteriorcingulate,0.0
lh_bankssts-lh_caudalmiddlefrontal,0.0
lh_bankssts-lh_cuneus,0.0
lh_bankssts-lh_entorhinal,0.0
lh_bankssts-lh_fusiform,0.0
lh_bankssts-lh_inferiorparietal,0.0
lh_bankssts-lh_inferiortemporal,-0.0
lh_bankssts-lh_isthmuscingulate,0.0
lh_bankssts-lh_lateraloccipital,0.0
lh_bankssts-lh_lateralorbitofrontal,0.0
lh_bankssts-lh_lingual,0.0
lh_bankssts-lh_medialorbitofrontal,0.0
lh_bankssts-lh_middletemporal,0.0
lh_bankssts-lh_parahippocampal,0.006573226610786905
lh_bankssts-lh_paracentral,0.0
lh_bankssts-lh_parsopercularis,0.0025589706388786603
lh_bankssts-lh_parsorbitalis,0.0
lh_bankssts-lh_parstriangularis,0.0
lh_bankssts-lh_pericalcarine,-0.0
lh_bankssts-lh_postcentral,0.0
lh_bankssts-lh_posteriorcingulate,-0.0
lh_bankssts-lh_precentral,0.0
lh_bankssts-lh_precuneus,0.007428578151253527
lh_bankssts-lh_rostralanteriorcingulate,-0.0
lh_bankssts-lh_rostralmiddlefrontal,0.0
lh_bankssts-lh_superiorfrontal,0.0
lh_bankssts-lh_superiorparietal,0.0
lh_bankssts-lh_superiortemporal,0.0
lh_bankssts-lh_supramarginal,0.0
lh_bankssts-lh_frontalpole,0.003977360841982279
lh_bankssts-lh_temporalpole,0.0
lh_bankssts-lh_transversetemporal,0.0
lh_bankssts-lh_insula,-0.0
lh_bankssts-rh_bankssts,0.0
lh_bankssts-rh_caudalanteriorcingulate,-0.0005399272753924534
lh_bankssts-rh_caudalmiddlefrontal,0.0
lh_bankssts-rh_cuneus,0.0
lh_bankssts-rh_entorhinal,0.0
lh_bankssts-rh_fusiform,0.0
lh_bankssts-rh_inferiorparietal,0.0
lh_bankssts-rh_inferiortemporal,0.0
lh_bankssts-rh_isthmuscingulate,0.0
lh_bankssts-rh_lateraloccipital,0.0
lh_bankssts-rh_lateralorbitofrontal,0.0
lh_bankssts-rh_lingual,-0.0
lh_bankssts-rh_medialorbitofrontal,0.0
lh_bankssts-rh_middletemporal,0.003821278619332527
lh_bankssts-rh_parahippocampal,0.0
lh_bankssts-rh_paracentral,0.0
lh_bankssts-rh_parsopercularis,0.019012762770369715
lh_bankssts-rh_parsorbitalis,0.00589349859858962
lh_bankssts-rh_parstriangularis,0.0
lh_bankssts-rh_pericalcarine,0.0
lh_bankssts-rh_postcentral,0.0
lh_bankssts-rh_posteriorcingulate,-0.0
lh_bankssts-rh_precentral,0.0
lh_bankssts-rh_precuneus,0.0
lh_bankssts-rh_rostralanteriorcingulate,-0.0
lh_bankssts-rh_rostralmiddlefrontal,0.0017656774762436593
lh_bankssts-rh_superiorfrontal,0.0
lh_bankssts-rh_superiorparietal,0.0
lh_bankssts-rh_superiortemporal,0.0
lh_bankssts-rh_supramarginal,0.0
lh_bankssts-rh_frontalpole,0.0
lh_bankssts-rh_temporalpole,0.0
lh_bankssts-rh_transversetemporal,-0.0
lh_bankssts-rh_insula,-0.0
lh_caudalanteriorcingulate-lh_caudalmiddlefrontal,0.0
lh_caudalanteriorcingulate-lh_cuneus,0.0
lh_caudalanteriorcingulate-lh_entorhinal,0.0
lh_caudalanteriorcingulate-lh_fusiform,0.0
lh_caudalanteriorcingulate-lh_inferiorparietal,0.0
lh_caudalanteriorcingulate-lh_inferiortemporal,-0.0
lh_caudalanteriorcingulate-lh_isthmuscingulate,0.0
lh_caudalanteriorcingulate-lh_lateraloccipital,0.0
lh_caudalanteriorcingulate-lh_lateralorbitofrontal,0.0
lh_caudalanteriorcingulate-lh_lingual,0.0
lh_caudalanteriorcingulate-lh_medialorbitofrontal,0.0
lh_caudalanteriorcingulate-lh_middletemporal,-0.0
lh_caudalanteriorcingulate-lh_parahippocampal,-0.0
lh_caudalanteriorcingulate-lh_paracentral,0.011138168454161811
lh_caudalanteriorcingulate-lh_parsopercularis,-0.0
lh_caudalanteriorcingulate-lh_parsorbitalis,0.0
lh_caudalanteriorcingulate-lh_parstriangularis,0.0
lh_caudalanteriorcingulate-lh_pericalcarine,-0.0
lh_caudalanteriorcingulate-lh_postcentral,0.0
lh_caudalanteriorcingulate-lh_posteriorcingulate,0.0
lh_caudalanteriorcingulate-lh_precentral,-0.0
lh_caudalanteriorcingulate-lh_precuneus,0.0
lh_caudalanteriorcingulate-lh_rostralanteriorcingulate,0.0
lh_caudalanteriorcingulate-lh_rostralmiddlefrontal,0.0
lh_caudalanteriorcingulate-lh_superiorfrontal,0.0
lh_caudalanteriorcingulate-lh_superiorparietal,0.0
lh_caudalanteriorcingulate-lh_superiortemporal,0.0
lh_caudalanteriorcingulate-lh_supramarginal,0.0
lh_caudalanteriorcingulate-lh_frontalpole,0.0
lh_caudalanteriorcingulate-lh_temporalpole,-0.0
lh_caudalanteriorcingulate-lh_transversetemporal,0.0
lh_caudalanteriorcingulate-lh_insula,-0.027156410912092244
lh_caudalanteriorcingulate-rh_bankssts,0.0
lh_caudalanteriorcingulate-rh_caudalanteriorcingulate,0.0
lh_caudalanteriorcingulate-rh_caudalmiddlefrontal,0.0
lh_caudalanteriorcingulate-rh_cuneus,0.0021739385878921987
lh_caudalanteriorcingulate-rh_entorhinal,0.007428952179854714
lh_caudalanteriorcingulate-rh_fusiform,0.0
lh_caudalanteriorcingulate-rh_inferiorparietal,0.0
lh_caudalanteriorcingulate-rh_inferiortemporal,0.0
lh_caudalanteriorcingulate-rh_isthmuscingulate,0.011250287993869457
lh_caudalanteriorcingulate-rh_lateraloccipital,0.0
lh_caudalanteriorcingulate-rh_lateralorbitofrontal,0.0
lh_caudalanteriorcingulate-rh_lingual,0.0
lh_caudalanteriorcingulate-rh_medialorbitofrontal,0.001808312284070143
lh_caudalanteriorcingulate-rh_middletemporal,-0.0
lh_caudalanteriorcingulate-rh_parahippocampal,-0.0
lh_caudalanteriorcingulate-rh_paracentral,0.0
lh_caudalanteriorcingulate-rh_parsopercularis,-0.0
lh_caudalanteriorcingulate-rh_parsorbitalis,0.0
lh_caudalanteriorcingulate-rh_parstriangularis,0.0
lh_caudalanteriorcingulate-rh_pericalcarine,-0.0
lh_caudalanteriorcingulate-rh_postcentral,-0.0
lh_caudalanteriorcingulate-rh_posteriorcingulate,-0.002049172862487845
lh_caudalanteriorcingulate-rh_precentral,0.0
lh_caudalanteriorcingulate-rh_precuneus,0.0
lh_caudalanteriorcingulate-rh_rostralanteriorcingulate,0.0
lh_caudalanteriorcingulate-rh_rostralmiddlefrontal,0.0
lh_caudalanteriorcingulate-rh_superiorfrontal,0.0
lh_caudalanteriorcingulate-rh_superiorparietal,0.0
lh_caudalanteriorcingulate-rh_superiortemporal,0.0
